0	1	2
Ruminococcaceae_Incertae_Sedis_Otu001174	Ruminococcaceae_Incertae_Sedis_Otu001397	1.0
Ruminococcaceae_Ruminococcus_Otu000123	Ruminococcaceae_Subdoligranulum_Otu000183	1.0
Ruminococcaceae_Oscillospira_Otu000521	Ruminococcaceae_Oscillospira_Otu000808	1.0
Lachnospiraceae_unclassified_Otu000525	Ruminococcaceae_Incertae_Sedis_Otu001174	1.0
Prevotellaceae_Prevotella_Otu000015	Lachnospiraceae_Incertae_Sedis_Otu000629	1.0
Lachnospiraceae_unclassified_Otu000525	Lachnospiraceae_unclassified_Otu001467	1.0
Prevotellaceae_Prevotella_Otu000042	Ruminococcaceae_Incertae_Sedis_Otu000564	1.0
Lachnospiraceae_Incertae_Sedis_Otu000639	Erysipelotrichaceae_Incertae_Sedis_Otu000191	1.0
Lachnospiraceae_Incertae_Sedis_Otu000504	Lachnospiraceae_unclassified_Otu001467	1.0
Lachnospiraceae_Blautia_Otu000205	Lachnospiraceae_Incertae_Sedis_Otu000561	1.0
Bacteroidaceae_Bacteroides_Otu001406	Porphyromonadaceae_Barnesiella_Otu000747	1.0
Lachnospiraceae_Blautia_Otu000205	Lachnospiraceae_Incertae_Sedis_Otu000504	1.0
Lachnospiraceae_Blautia_Otu000205	Lachnospiraceae_unclassified_Otu000525	1.0
Streptococcaceae_Lactococcus_Otu001265	Ruminococcaceae_unclassified_Otu000188	1.0
Ruminococcaceae_Incertae_Sedis_Otu001174	Ruminococcaceae_Oscillospira_Otu001337	1.0
Lachnospiraceae_Blautia_Otu000205	Lachnospiraceae_unclassified_Otu001206	1.0
Lachnospiraceae_Blautia_Otu000205	Lachnospiraceae_unclassified_Otu001467	1.0
Lachnospiraceae_Incertae_Sedis_Otu000504	Lachnospiraceae_unclassified_Otu001206	1.0
Ruminococcaceae_Faecalibacterium_Otu000071	Ruminococcaceae_Incertae_Sedis_Otu000564	1.0
Lachnospiraceae_Incertae_Sedis_Otu000639	Erysipelotrichaceae_Incertae_Sedis_Otu000479	1.0
Lachnospiraceae_unclassified_Otu001206	Lachnospiraceae_unclassified_Otu001467	1.0
Lachnospiraceae_Blautia_Otu000205	Ruminococcaceae_Incertae_Sedis_Otu001397	1.0
Ruminococcaceae_Faecalibacterium_Otu000071	Ruminococcaceae_Subdoligranulum_Otu000978	1.0
Lachnospiraceae_Incertae_Sedis_Otu000561	Ruminococcaceae_Oscillospira_Otu001337	1.0
Lachnospiraceae_Incertae_Sedis_Otu000792	Lachnospiraceae_Roseburia_Otu000117	1.0
Lachnospiraceae_Anaerostipes_Otu000853	Ruminococcaceae_Faecalibacterium_Otu000270	1.0
