0	1	2
Streptococcaceae_Streptococcus_Otu001551	Lachnospiraceae_Dorea_Otu000471	1.0
Ruminococcaceae_Flavonifractor_Otu000248	Ruminococcaceae_Subdoligranulum_Otu000261	1.0
Lachnospiraceae_Roseburia_Otu000974	Ruminococcaceae_Oscillospira_Otu000645	1.0
Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	Shewanellaceae_Shewanella_Otu001055	1.0
Coriobacteriaceae_unclassified_Otu000592	Ruminococcaceae_Flavonifractor_Otu000248	1.0
Lachnospiraceae_Roseburia_Otu000974	Ruminococcaceae_Incertae_Sedis_Otu000236	1.0
Lachnospiraceae_Blautia_Otu000502	Ruminococcaceae_Oscillospira_Otu000521	1.0
Bacteroidaceae_Bacteroides_Otu001406	Lachnospiraceae_Incertae_Sedis_Otu000639	1.0
Coriobacteriaceae_Adlercreutzia_Otu000303	Ruminococcaceae_Flavonifractor_Otu000129	1.0
Lachnospiraceae_Anaerostipes_Otu000853	Burkholderiaceae_Burkholderia_Otu000738	1.0
Lachnospiraceae_Anaerostipes_Otu000853	Erysipelotrichaceae_Incertae_Sedis_Otu000313	1.0
Ruminococcaceae_Incertae_Sedis_Otu001397	Ruminococcaceae_unclassified_Otu000647	1.0
Streptococcaceae_Lactococcus_Otu001265	Lachnospiraceae_Anaerostipes_Otu000853	1.0
Lachnospiraceae_Incertae_Sedis_Otu000335	Ruminococcaceae_unclassified_Otu001984	1.0
Lachnospiraceae_Blautia_Otu000355	Lachnospiraceae_Incertae_Sedis_Otu000639	1.0
Porphyromonadaceae_Parabacteroides_Otu000153	Streptococcaceae_Streptococcus_Otu001551	1.0
Ruminococcaceae_Oscillospira_Otu000443	Thermoanaerobacteraceae_Gelria_Otu001482	1.0
Lachnospiraceae_Incertae_Sedis_Otu000779	Ruminococcaceae_Subdoligranulum_Otu000978	1.0
Ruminococcaceae_Oscillospira_Otu000443	Ruminococcaceae_Subdoligranulum_Otu000261	1.0
Ruminococcaceae_Oscillospira_Otu000443	Enterobacteriaceae_unclassified_Otu000020	1.0
Coriobacteriaceae_unclassified_Otu000592	Lachnospiraceae_Incertae_Sedis_Otu000792	1.0
Streptococcaceae_Lactococcus_Otu001265	Ruminococcaceae_Incertae_Sedis_Otu000236	1.0
Lachnospiraceae_Roseburia_Otu000974	Erysipelotrichaceae_Incertae_Sedis_Otu000313	1.0
Lachnospiraceae_Incertae_Sedis_Otu000792	Ruminococcaceae_Flavonifractor_Otu000248	1.0
Lachnospiraceae_Roseburia_Otu000974	Burkholderiaceae_Burkholderia_Otu000738	1.0
Bacteroidaceae_Bacteroides_Otu000263	Ruminococcaceae_Flavonifractor_Otu000248	1.0
Streptococcaceae_Streptococcus_Otu001151	Lachnospiraceae_Incertae_Sedis_Otu000349	1.0
Streptococcaceae_Streptococcus_Otu001151	Lachnospiraceae_Incertae_Sedis_Otu000639	1.0
Bifidobacteriaceae_Bifidobacterium_Otu000794	Coriobacteriaceae_Collinsella_Otu001365	1.0
Rikenellaceae_Alistipes_Otu001790	Lachnospiraceae_Incertae_Sedis_Otu000335	1.0
Carnobacteriaceae_unclassified_Otu000638	Burkholderiaceae_Burkholderia_Otu000738	1.0
Carnobacteriaceae_unclassified_Otu000638	Ruminococcaceae_Faecalibacterium_Otu000214	1.0
Lachnospiraceae_Blautia_Otu000230	Ruminococcaceae_Oscillospira_Otu000911	1.0
Ruminococcaceae_Oscillospira_Otu000911	Ruminococcaceae_unclassified_Otu000647	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu001216	Ruminococcaceae_Incertae_Sedis_Otu000236	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu001216	Burkholderiaceae_Burkholderia_Otu000738	1.0
Ruminococcaceae_Incertae_Sedis_Otu000716	Thermoanaerobacteraceae_Gelria_Otu001482	1.0
Lachnospiraceae_Roseburia_Otu000974	Peptostreptococcaceae_Incertae_Sedis_Otu001216	1.0
Lachnospiraceae_Incertae_Sedis_Otu000792	Enterobacteriaceae_unclassified_Otu000020	1.0
Coriobacteriaceae_Eggerthella_Otu000920	Ruminococcaceae_Incertae_Sedis_Otu000701	1.0
Coriobacteriaceae_Eggerthella_Otu000920	Rikenellaceae_Alistipes_Otu001790	1.0
Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	Lachnospiraceae_Dorea_Otu000287	1.0
Ruminococcaceae_Flavonifractor_Otu000248	Ruminococcaceae_Incertae_Sedis_Otu000716	1.0
Ruminococcaceae_Flavonifractor_Otu000248	Ruminococcaceae_Oscillospira_Otu000443	1.0
Ruminococcaceae_Incertae_Sedis_Otu001397	Ruminococcaceae_Oscillospira_Otu000911	1.0
Lachnospiraceae_Incertae_Sedis_Otu000792	Ruminococcaceae_Incertae_Sedis_Otu000716	1.0
Streptococcaceae_Streptococcus_Otu001551	Ruminococcaceae_Faecalibacterium_Otu000342	1.0
Coriobacteriaceae_Eggerthella_Otu000570	Ruminococcaceae_Faecalibacterium_Otu000342	1.0
Coriobacteriaceae_unclassified_Otu000592	Ruminococcaceae_Subdoligranulum_Otu000261	1.0
Carnobacteriaceae_unclassified_Otu000638	Streptococcaceae_Lactococcus_Otu001265	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu000626	Ruminococcaceae_Flavonifractor_Otu000129	1.0
Bacteroidaceae_Bacteroides_Otu000170	Ruminococcaceae_Oscillospira_Otu000521	1.0
Carnobacteriaceae_unclassified_Otu000638	Lachnospiraceae_Anaerostipes_Otu000853	1.0
Ruminococcaceae_Incertae_Sedis_Otu000716	Enterobacteriaceae_unclassified_Otu000020	1.0
Ruminococcaceae_Oscillospira_Otu000645	Burkholderiaceae_Burkholderia_Otu000738	1.0
Streptococcaceae_Lactococcus_Otu001265	Peptostreptococcaceae_Incertae_Sedis_Otu001216	1.0
Bifidobacteriaceae_Bifidobacterium_Otu000794	Lachnospiraceae_Blautia_Otu000502	1.0
Bacteroidaceae_Bacteroides_Otu001406	Lachnospiraceae_Blautia_Otu000355	1.0
Coriobacteriaceae_Adlercreutzia_Otu000303	Peptostreptococcaceae_Incertae_Sedis_Otu000626	1.0
Clostridiaceae_1_Clostridium_sensu_stricto_1_Otu000410	Lachnospiraceae_unclassified_Otu001701	1.0
Lachnospiraceae_unclassified_Otu001701	Shewanellaceae_Shewanella_Otu001055	1.0
Ruminococcaceae_Flavonifractor_Otu000248	Enterobacteriaceae_unclassified_Otu000020	1.0
Bifidobacteriaceae_Bifidobacterium_Otu000794	Ruminococcaceae_Oscillospira_Otu000521	1.0
Streptococcaceae_Lactococcus_Otu001265	Ruminococcaceae_Oscillospira_Otu000645	1.0
Coriobacteriaceae_Eggerthella_Otu000920	Ruminococcaceae_Subdoligranulum_Otu000246	1.0
Bacteroidaceae_Bacteroides_Otu000170	Lachnospiraceae_Blautia_Otu000502	1.0
Ruminococcaceae_Flavonifractor_Otu000248	Thermoanaerobacteraceae_Gelria_Otu001482	1.0
Bacteroidaceae_Bacteroides_Otu000173	Bacteroidaceae_Bacteroides_Otu000263	1.0
Bacteroidaceae_Bacteroides_Otu001406	Lachnospiraceae_Incertae_Sedis_Otu000349	1.0
Lachnospiraceae_Incertae_Sedis_Otu000335	Ruminococcaceae_Subdoligranulum_Otu000246	1.0
Coriobacteriaceae_unclassified_Otu000592	Ruminococcaceae_Oscillospira_Otu000443	1.0
Coriobacteriaceae_Eggerthella_Otu000920	Lachnospiraceae_Incertae_Sedis_Otu000335	1.0
Ruminococcaceae_Incertae_Sedis_Otu000236	Erysipelotrichaceae_Incertae_Sedis_Otu000313	1.0
Lachnospiraceae_Dorea_Otu000471	Lachnospiraceae_Incertae_Sedis_Otu000162	1.0
Lachnospiraceae_Incertae_Sedis_Otu000792	Ruminococcaceae_Subdoligranulum_Otu000261	1.0
Lachnospiraceae_Incertae_Sedis_Otu000335	Ruminococcaceae_Incertae_Sedis_Otu000701	1.0
Lachnospiraceae_Incertae_Sedis_Otu000792	Thermoanaerobacteraceae_Gelria_Otu001482	1.0
Lachnospiraceae_Incertae_Sedis_Otu000335	Ruminococcaceae_Ruminococcus_Otu000123	1.0
Lachnospiraceae_Blautia_Otu000355	Lachnospiraceae_Incertae_Sedis_Otu000349	1.0
Lachnospiraceae_Roseburia_Otu000974	Ruminococcaceae_Faecalibacterium_Otu000214	1.0
Coriobacteriaceae_Eggerthella_Otu000920	Ruminococcaceae_Ruminococcus_Otu000123	1.0
Carnobacteriaceae_unclassified_Otu000638	Ruminococcaceae_Incertae_Sedis_Otu000236	1.0
Peptostreptococcaceae_Incertae_Sedis_Otu001216	Ruminococcaceae_Faecalibacterium_Otu000214	1.0
Coriobacteriaceae_unclassified_Otu000592	Ruminococcaceae_Incertae_Sedis_Otu000716	1.0
Ruminococcaceae_Subdoligranulum_Otu000246	Ruminococcaceae_unclassified_Otu001984	1.0
Streptococcaceae_Lactococcus_Otu001265	Erysipelotrichaceae_Incertae_Sedis_Otu000313	1.0
Streptococcaceae_Lactococcus_Otu001265	Lachnospiraceae_Roseburia_Otu000974	1.0
Lachnospiraceae_Dorea_Otu000471	Ruminococcaceae_Faecalibacterium_Otu000342	1.0
Streptococcaceae_Lactococcus_Otu001265	Ruminococcaceae_Faecalibacterium_Otu000214	1.0
Ruminococcaceae_Oscillospira_Otu000645	Erysipelotrichaceae_Incertae_Sedis_Otu000313	1.0
Coriobacteriaceae_Collinsella_Otu001365	Ruminococcaceae_Oscillospira_Otu000521	1.0
Lachnospiraceae_Incertae_Sedis_Otu000792	Ruminococcaceae_Oscillospira_Otu000443	1.0
Streptococcaceae_Streptococcus_Otu001151	Lachnospiraceae_Blautia_Otu000355	1.0
