"WinAge"	"NumOTUs"	"aveStrength"	"stdDev"	"stdError"	"ConfInterv"	"Gender"
27.3	300	58.8070842325187	29.588754852675	1.70830755791778	3.36182912711551	"male"
28.6	300	61.0228030122339	29.2822940001616	1.69061403234831	3.32700951319698	"male"
29.8	300	62.2102762687723	28.9237321189552	1.66991245248474	3.28627025998693	"male"
30.9	300	62.1409198213882	28.6813462717732	1.65591829907291	3.25873075029435	"male"
32.2	300	62.8714868678855	30.1438490449827	1.74035593605322	3.42489808129369	"male"
33.3	300	66.4087897336765	30.1826992937946	1.74259895621418	3.42931218721676	"male"
34.3	300	65.8451846605557	30.4326202020698	1.75702814658106	3.45770781904034	"male"
35.2	300	63.248938302288	30.948259964822	1.78679862216405	3.51629402120229	"male"
36.1	300	64.6139775545564	31.4951102184844	1.81837103627989	3.57842631166489	"male"
37.2	300	61.635114797675	30.790285054128	1.77767793644261	3.49834515316885	"male"
38.3	300	60.67658351453	30.1787996813367	1.74237381198395	3.42886911920627	"male"
39.3	300	61.5736331646776	29.3807318359033	1.6962973434447	3.3381938697221	"male"
40.6	300	62.9631766697623	30.0432567004636	1.73454823433457	3.41346893277247	"male"
41.8	300	63.1270035418044	30.5549946546699	1.76409343889612	3.47161181740777	"male"
42.9	300	57.1491721475602	30.7763607461994	1.77687401614952	3.49676309457252	"male"
44	300	56.2285218105933	30.0099088458005	1.73262289504791	3.40968000046723	"male"
45	300	55.1622354246622	30.2052115824832	1.74389870380763	3.4318699990682	"male"
45.9	300	55.7021060331385	30.3859777756959	1.7543352448388	3.45240837780586	"male"
46.7	300	52.9844518050085	29.405087654796	1.6977035273041	3.34096114065918	"male"
47.3	300	54.2276679357386	30.0712610341156	1.73616506529181	3.4166507423831	"male"
47.9	300	54.7838192356468	30.0566434345813	1.73532111778921	3.41498991305359	"male"
48.5	300	52.3592671521981	28.517303251891	1.64644727090415	3.24009243296447	"male"
48.8	300	44.1117566914572	25.1192994264036	1.4502634285689	2.85401642904163	"male"
49.2	300	42.0340271458674	25.2612576004454	1.45845938756856	2.87014549992352	"male"
49.5	300	43.7829189710959	25.680087348105	1.48264053432415	2.91773229605588	"male"
49.9	300	45.7387946677449	25.547259511833	1.4749717156214	2.90264060020404	"male"
50.4	300	47.6597975080521	25.5790984040645	1.47680993492145	2.90625808650287	"male"
51	300	48.0647663157029	25.1963109721576	1.45470969223607	2.86276636322875	"male"
51.7	300	46.6268563423557	25.5282662502741	1.47387513915402	2.90048261483948	"male"
52.4	300	47.8795430589671	25.5352597885046	1.47427891127202	2.90127720997004	"male"
53	300	46.6784811752844	26.0756332479154	1.50547738749739	2.96267361696358	"male"
53.7	300	49.4318778695368	26.3060744033621	1.51878191381034	2.98885598902771	"male"
54.4	300	51.5090417842566	27.0740258489048	1.56311961119121	3.07610945916157	"male"
55	300	53.4367503419776	26.8440288145121	1.54984072621926	3.04997754745317	"male"
55.9	300	55.8357260898161	26.864414601286	1.55101770016742	3.05229374940547	"male"
56.7	300	54.6552591842164	27.8630500708816	1.60867394588675	3.16575718596348	"male"
57.5	300	54.4048491297636	28.592793565959	1.65080570621898	3.24866952713124	"male"
58.1	300	56.4082808648583	28.1238977735853	1.6237339950241	3.19539430347846	"male"
58.7	300	58.6832108314309	27.9912279918721	1.61607430160556	3.18032056554416	"male"
59.3	300	56.4303067549659	27.6434828314543	1.59599722540789	3.14081029162668	"male"
59.9	300	57.7646109812978	27.5775120750338	1.59218840201009	3.13331479505791	"male"
60.4	300	57.5630267823783	28.020249692917	1.61774987029662	3.18361796688385	"male"
60.9	300	57.6065133345947	27.1170141853398	1.56560154395248	3.08099372827911	"male"
61.4	300	57.9410552096686	27.9519864427086	1.61380868970826	3.17586200067287	"male"
61.7	300	54.6119311990956	27.6430686364894	1.59597331185045	3.14076323142749	"male"
62	300	55.6223671409748	27.3283107115186	1.5778007545793	3.1050009168108	"male"
62.2	300	54.0073412955023	27.0573109128193	1.56215457390636	3.07421033365696	"male"
62.5	300	51.8355759112558	26.950019306926	1.55596009015194	3.06202002529209	"male"
62.7	300	55.322159533544	28.1488387264606	1.62517396160974	3.1982280564448	"male"
62.9	300	56.751629892883	28.3033683425396	1.63409573315383	3.21578547536705	"male"
63.1	300	58.8662113814846	27.9566354825624	1.61407710214937	3.17639021747928	"male"
63.6	300	60.8750381072647	28.1096509919918	1.62291145670529	3.19377560591693	"male"
64.1	300	60.6828082135376	30.2323064831631	1.74546302862775	3.43494848029377	"male"
64.6	300	60.4139518430459	30.9729445521336	1.78822378747697	3.51909864630491	"male"
65.1	300	59.4065004464305	31.0994202058723	1.79552586275016	3.53346861688078	"male"
65.6	300	58.5600806752878	31.1667316244086	1.79941208931131	3.54111643743117	"male"
66.2	300	60.6674309519771	30.1883359063038	1.74292438618914	3.42995261051967	"male"
66.7	300	59.2679116744434	30.0589337490821	1.73545334915857	3.41525013508853	"male"
67.2	300	56.7646321620901	29.9464461253045	1.72895887317172	3.40246946310897	"male"
67.7	300	56.3389037555867	30.2430820791913	1.7460851579545	3.43617278705388	"male"
68.2	300	55.3340052672807	30.4367055469143	1.75726401407564	3.45817198968088	"male"
68.4	300	52.1633630802401	28.9079044843178	1.66899864357289	3.28447194831744	"male"
68.7	300	53.476098765182	28.9873762200256	1.67358694637328	3.29350140552898	"male"
69	300	51.6764128191055	29.0169145469614	1.67529234247405	3.29685750511321	"male"
69.2	300	56.403709986591	30.0755491508712	1.73641263982813	3.41713795165842	"male"
69.4	300	58.6886471522967	30.3794606884413	1.75395898063073	3.45166791630738	"male"
